Site ID,Sample Date,# Aphids,PEMV,BLRV,PeSV,ELISA PEMV,ELISA BLRV
2021-Site-13,7/9/2021,0,,,,,
2021-Site-13,7/2/2021,0,,,,,
2021-Site-13,6/25/2021,0,,,,,
2021-Site-13,6/18/2021,2,0,0,,,
2021-Site-13,6/11/2021,0,,,,,
2021-Site-13,6/4/2021,0,,,,,
2021-Site-13,5/28/2021,0,,,,,
2021-Site-13,5/21/2021,0,,,,,
2021-Site-13,5/14/2021,0,,,,,
2021-Site-13,5/7/2021,0,,,,,
2021-Site-12,7/9/2021,0,,,,,
2021-Site-12,7/2/2021,0,,,,,
2021-Site-12,6/25/2021,0,,,,,
2021-Site-12,6/18/2021,1,0,0,,,
2021-Site-12,6/11/2021,0,,,,,
2021-Site-12,6/4/2021,1,0,0,,,
2021-Site-12,5/28/2021,8,0,0,,,
2021-Site-12,5/21/2021,0,,,,,
2021-Site-12,5/14/2021,0,,,,,
2021-Site-12,5/7/2021,1,0,0,,,
2021-Site-11,7/9/2021,0,,,,,
2021-Site-11,7/2/2021,0,,,,,
2021-Site-11,6/25/2021,0,,,,,
2021-Site-11,6/18/2021,10,1,0,,,
2021-Site-11,6/11/2021,0,,,,,
2021-Site-11,6/4/2021,0,,,,,
2021-Site-11,5/28/2021,0,,,,,
2021-Site-11,5/21/2021,0,,,,,
2021-Site-10,7/9/2021,0,,,,,
2021-Site-10,7/2/2021,0,,,,,
2021-Site-10,6/25/2021,0,,,,,
2021-Site-10,6/18/2021,10,1,0,,,
2021-Site-10,6/11/2021,0,,,,,
2021-Site-10,6/4/2021,0,,,,,
2021-Site-10,5/28/2021,0,,,,,
2021-Site-10,5/21/2021,0,,,,,
2021-Site-09,7/9/2021,0,,,,,
2021-Site-09,7/2/2021,0,,,,,
2021-Site-09,6/25/2021,0,,,,,
2021-Site-09,6/18/2021,10,0,0,,,
2021-Site-09,6/11/2021,0,,,,,
2021-Site-09,6/4/2021,0,,,,,
2021-Site-09,5/28/2021,0,,,,,
2021-Site-09,5/21/2021,0,,,,,
2021-Site-08,7/9/2021,0,,,,,
2021-Site-08,7/2/2021,0,,,,,
2021-Site-08,6/25/2021,0,,,,,
2021-Site-08,6/18/2021,10,0,0,,,
2021-Site-08,6/11/2021,0,,,,,
2021-Site-08,6/4/2021,0,,,,,
2021-Site-08,5/28/2021,0,,,,,
2021-Site-08,5/21/2021,0,,,,,
2021-Site-07,7/9/2021,0,,,,,
2021-Site-07,7/2/2021,0,,,,,
2021-Site-07,6/25/2021,0,,,,,
2021-Site-07,6/18/2021,0,,,,,
2021-Site-07,6/11/2021,0,,,,,
2021-Site-07,6/4/2021,0,,,,,
2021-Site-07,5/28/2021,0,,,,,
2021-Site-07,5/21/2021,0,,,,,
2021-Site-06,7/9/2021,0,,,,,
2021-Site-06,7/2/2021,0,,,,,
2021-Site-06,6/25/2021,0,,,,,
2021-Site-06,6/18/2021,0,,,,,
2021-Site-06,6/11/2021,0,,,,,
2021-Site-06,6/4/2021,0,,,,,
2021-Site-06,5/28/2021,0,,,,,
2021-Site-06,5/21/2021,0,,,,,
2021-Site-05,7/9/2021,0,,,,,
2021-Site-05,7/2/2021,0,,,,,
2021-Site-05,6/25/2021,0,,,,,
2021-Site-05,6/11/2021,0,,,,,
2021-Site-05,6/4/2021,0,,,,,
2021-Site-05,5/28/2021,0,,,,,
2021-Site-05,5/21/2021,0,,,,,
2021-Site-05,5/14/2021,0,,,,,
2021-Site-05,5/7/2021,0,,,,,
2021-Site-05,4/29/2021,0,,,,,
2021-Site-04,7/9/2021,0,,,,,
2021-Site-04,7/2/2021,0,,,,,
2021-Site-04,6/25/2021,0,,,,,
2021-Site-04,6/18/2021,0,,,,,
2021-Site-04,6/11/2021,0,,,,,
2021-Site-04,6/4/2021,0,,,,,
2021-Site-04,5/28/2021,0,,,,,
2021-Site-04,5/21/2021,0,,,,,
2021-Site-04,5/7/2021,0,,,,,
2021-Site-04,4/29/2021,0,,,,,
2021-Site-03,7/9/2021,0,,,,,
2021-Site-03,7/2/2021,0,,,,,
2021-Site-03,6/25/2021,0,,,,,
2021-Site-03,6/18/2021,0,,,,,
2021-Site-03,6/11/2021,0,,,,,
2021-Site-03,6/4/2021,0,,,,,
2021-Site-03,5/28/2021,0,,,,,
2021-Site-03,5/21/2021,0,,,,,
2021-Site-03,5/14/2021,0,,,,,
2021-Site-03,5/7/2021,0,,,,,
2021-Site-03,4/29/2021,0,,,,,
2021-Site-02,7/9/2021,0,,,,,
2021-Site-02,7/2/2021,0,,,,,
2021-Site-02,6/25/2021,0,,,,,
2021-Site-02,6/18/2021,0,,,,,
2021-Site-02,6/11/2021,0,,,,,
2021-Site-02,6/4/2021,0,,,,,
2021-Site-02,5/28/2021,0,,,,,
2021-Site-02,5/21/2021,0,,,,,
2021-Site-02,5/14/2021,0,,,,,
2021-Site-02,5/7/2021,0,,,,,
2021-Site-02,4/29/2021,0,,,,,
2021-Site-01,7/9/2021,0,,,,,
2021-Site-01,7/2/2021,0,,,,,
2021-Site-01,6/25/2021,0,,,,,
2021-Site-01,6/18/2021,0,,,,,
2021-Site-01,6/11/2021,0,,,,,
2021-Site-01,6/4/2021,0,,,,,
2021-Site-01,5/28/2021,1,0,0,,,
2021-Site-01,5/21/2021,0,,,,,
2021-Site-01,5/14/2021,0,,,,,
2021-Site-01,5/7/2021,0,,,,,
2021-Site-01,4/29/2021,0,,,,,
