Farm/location,Site no.,Coordinates,Crop
"Herman farm, Genesee, ID",1,"46.532817, -116.808683",winter pea (austrain)
"Moser-Hillside Rd, ID ",2,"46.519722, -117.011944",winter pea (austrain)
"28th St, Lewiston, ID",3,"46.3560017237133, -116.88659071739681",Winter pea
"Kendrick, ID",4,"46.59833163675066, -116.55864393271735",Winter pea
"Olson Rd, Palouse, WA",5,"46.9080936201534, -117.11930031291075",Winter pea
"Fleener Farms, WA",6,"46.80594158256237, -117.06536134078924",Spring pea
"Zenner RD, ID",7,"46.513056, -116.835278",Spring pea
"Colton, WA",8,"46.62624, -117.05331",Spring pea
"Schultheis Rd, Uniontown, WA",9,"46.485000, -117.108889",Spring pea
"Old Highway 95, ID",10,"46.595674, -116.925314",Spring pea
"US95-JCT, ID",11,"46.484722, -117.035278",Spring pea
"Parker Farm, Moscow, ID",12,"46.72786, -116.95574",Winter pea
"Spillman Agronomy Farm, Pullman, WA",13,"46.70198744544501, -117.14085463694558",Winter pea
